Characteristic,Overall (N=2316),Non-AKI (N=838),AKI (N=1478),p-value
"admission_age, median [IQR]",68.0 [59.0 – 76.0],65.0 [57.0 – 74.0],69.0 [61.0 – 77.0],<0.001
"weight, median [IQR]",81.0 [70.0 – 94.0],79.0 [68.1 – 90.1],82.1 [71.0 – 95.3],<0.001
"height, median [IQR]",173.0 [165.0 – 178.0],171.0 [163.0 – 178.0],173.0 [165.0 – 178.0],0.135
"first_hosp_stay, n (%)",2234 (96.5%),821 (98.0%),1413 (95.6%),0.004
"is_afib, n (%)",150 (6.5%),45 (5.4%),105 (7.1%),0.123
"is_paced, n (%)",541 (23.4%),148 (17.7%),393 (26.6%),<0.001
"is_high_grade_block, n (%)",11 (0.5%),2 (0.2%),9 (0.6%),0.346
"invasive_vent_flag, n (%)",817 (35.3%),207 (24.7%),610 (41.3%),<0.001
"non_invasive_vent_flag, n (%)",21 (0.9%),3 (0.4%),18 (1.2%),0.040
"vaso_flag, n (%)",732 (31.6%),188 (22.4%),544 (36.8%),<0.001
"gcs_unable_max, n (%)",986 (42.6%),265 (31.6%),721 (48.8%),N/A
"infection_suspected_flag, n (%)",678 (29.3%),148 (17.7%),530 (35.9%),<0.001
"blood_culture_flag, n (%)",118 (5.1%),20 (2.4%),98 (6.6%),<0.001
"use_aspirin, n (%)",1613 (69.6%),592 (70.6%),1021 (69.1%),0.459
"has_acei, n (%)",353 (15.2%),159 (19.0%),194 (13.1%),<0.001
"use_vancomycin_iv, n (%)",707 (30.5%),204 (24.3%),503 (34.0%),<0.001
"has_mcs_device, n (%)",250 (10.8%),40 (4.8%),210 (14.2%),<0.001
"has_pa_catheter, n (%)",388 (16.8%),77 (9.2%),311 (21.0%),<0.001
"is_femoral_access, n (%)",403 (17.4%),90 (10.7%),313 (21.2%),<0.001
━━ gender ━━,,,,1.000
  M,1632 (70.5%),591 (70.5%),1041 (70.4%),
  F,684 (29.5%),247 (29.5%),437 (29.6%),
━━ race ━━,,,,0.049
  WHITE,1294 (55.9%),460 (54.9%),834 (56.4%),
  UNKNOWN,452 (19.5%),165 (19.7%),287 (19.4%),
  UNABLE TO OBTAIN,114 (4.9%),30 (3.6%),84 (5.7%),
  BLACK/AFRICAN AMERICAN,105 (4.5%),41 (4.9%),64 (4.3%),
  OTHER,85 (3.7%),33 (3.9%),52 (3.5%),
  WHITE - OTHER EUROPEAN,46 (2.0%),15 (1.8%),31 (2.1%),
  ASIAN,25 (1.1%),12 (1.4%),13 (0.9%),
  HISPANIC/LATINO - DOMINICAN,24 (1.0%),15 (1.8%),9 (0.6%),
  HISPANIC/LATINO - PUERTO RICAN,23 (1.0%),5 (0.6%),18 (1.2%),
  WHITE - RUSSIAN,20 (0.9%),5 (0.6%),15 (1.0%),
  PATIENT DECLINED TO ANSWER,19 (0.8%),9 (1.1%),10 (0.7%),
  BLACK/CARIBBEAN ISLAND,13 (0.6%),3 (0.4%),10 (0.7%),
  HISPANIC OR LATINO,12 (0.5%),5 (0.6%),7 (0.5%),
  ASIAN - CHINESE,11 (0.5%),4 (0.5%),7 (0.5%),
  WHITE - EASTERN EUROPEAN,9 (0.4%),2 (0.2%),7 (0.5%),
  BLACK/CAPE VERDEAN,8 (0.3%),4 (0.5%),4 (0.3%),
  HISPANIC/LATINO - SALVADORAN,6 (0.3%),4 (0.5%),2 (0.1%),
  ASIAN - SOUTH EAST ASIAN,6 (0.3%),5 (0.6%),1 (0.1%),
  AMERICAN INDIAN/ALASKA NATIVE,6 (0.3%),2 (0.2%),4 (0.3%),
  BLACK/AFRICAN,6 (0.3%),1 (0.1%),5 (0.3%),
  ASIAN - ASIAN INDIAN,5 (0.2%),3 (0.4%),2 (0.1%),
  NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,4 (0.2%),3 (0.4%),1 (0.1%),
  HISPANIC/LATINO - GUATEMALAN,4 (0.2%),1 (0.1%),3 (0.2%),
  WHITE - BRAZILIAN,3 (0.1%),1 (0.1%),2 (0.1%),
  ASIAN - KOREAN,3 (0.1%),1 (0.1%),2 (0.1%),
  PORTUGUESE,2 (0.1%),1 (0.1%),1 (0.1%),
  HISPANIC/LATINO - CUBAN,2 (0.1%),1 (0.1%),1 (0.1%),
  HISPANIC/LATINO - MEXICAN,2 (0.1%),2 (0.2%),0 (0.0%),
  MULTIPLE RACE/ETHNICITY,2 (0.1%),2 (0.2%),0 (0.0%),
  HISPANIC/LATINO - COLUMBIAN,2 (0.1%),1 (0.1%),1 (0.1%),
  SOUTH AMERICAN,1 (0.0%),0 (0.0%),1 (0.1%),
  HISPANIC/LATINO - CENTRAL AMERICAN,1 (0.0%),1 (0.1%),0 (0.0%),
  HISPANIC/LATINO - HONDURAN,1 (0.0%),1 (0.1%),0 (0.0%),
━━ first_careunit ━━,,,,<0.001
  Cardiac Vascular Intensive Care Unit (CVICU),1138 (49.1%),343 (40.9%),795 (53.8%),
  Coronary Care Unit (CCU),1078 (46.5%),447 (53.3%),631 (42.7%),
  Medical Intensive Care Unit (MICU),57 (2.5%),32 (3.8%),25 (1.7%),
  Surgical Intensive Care Unit (SICU),18 (0.8%),10 (1.2%),8 (0.5%),
  Medical/Surgical Intensive Care Unit (MICU/SICU),11 (0.5%),4 (0.5%),7 (0.5%),
  Trauma SICU (TSICU),9 (0.4%),1 (0.1%),8 (0.5%),
  Neuro Surgical Intensive Care Unit (Neuro SICU),3 (0.1%),1 (0.1%),2 (0.1%),
  Neuro Intermediate,2 (0.1%),0 (0.0%),2 (0.1%),
